# dataset: chemistry-electronegativity
# A chemical Facet: the Pauling electronegativity of common elements — one face
# an element presents (its pull on shared electrons), distinct from the atomic
# weight face held in /2 (chemical-elements.txt).
# Provenance: Pauling electronegativity scale (Linus Pauling, 1932), as compiled
#   in standard references (public-domain scientific fact); cross-referenced with
#   CRC Handbook / IUPAC. Retrieved 2026-09. Values are dimensionless (Pauling scale).
# Fluorine is the reference maximum at 3.98. Noble gases largely omitted (scale
#   is not defined for elements that rarely bond).
# format: Z  symbol  name        electronegativity_pauling
1    H   Hydrogen     2.20
3    Li  Lithium      0.98
4    Be  Beryllium    1.57
5    B   Boron        2.04
6    C   Carbon       2.55
7    N   Nitrogen     3.04
8    O   Oxygen       3.44
9    F   Fluorine     3.98
11   Na  Sodium       0.93
12   Mg  Magnesium    1.31
13   Al  Aluminium    1.61
14   Si  Silicon      1.90
15   P   Phosphorus   2.19
16   S   Sulfur       2.58
17   Cl  Chlorine     3.16
19   K   Potassium    0.82
20   Ca  Calcium      1.00
26   Fe  Iron         1.83
29   Cu  Copper       1.90
79   Au  Gold         2.54
